Company,Total Funding,Funding Rounds,Founders
Garnek Matrix Solutions,null,null,['Pulkit Jindal']
gener8tor,null,null,"['Jon Eckhardt', 'Dan Armbrust', 'Joel Abraham', 'Joe Kirgues', 'Joe Kirgues']"
genieX,null,null,['Donato Cerro']
Genrobotic Innovations,null,null,['Vimal Govind']
GenY Medium,null,null,"['Yashwant Kumar', 'Ravi Jain']"
GetAFixMD,null,null,['JAYAKRISHNAN V A']
Get Set Resumes,null,null,['Rajat Vashishta']
GGWP,null,null,['Kun Gao']
Ghour.io,null,null,"['Gaurav Mohile', 'Christopher Rivers', 'Ekberjan Derman']"
Giftingnation,null,null,"['Swetha Mothey', 'Srinivas Mothey']"
Gigafactor Solutions,null,null,['Rahul Aryan']
Ginger Media Group,null,null,"['Devleena Neogi', 'Kuldeep Pawar', 'Kuldeep Pawa']"
Gistr,null,null,['Arun Antony']
Gleam Innovations,null,null,['Hinal Prajapati']
Gleecus TechLabs,null,null,['Suprit Patra']
Global Business Reconnect,null,null,['Ashish Sharma']
GlobalFair,null,null,"['Joseph John', 'vaishnavi kadari', 'Pratiksha Yadav']"
Global Suntec Solutions Pvt Ltd,null,null,['Vaibhav Gainewar']
GlobalWebIndex,null,null,"['Dan Gurhey', 'Emma Burton', 'Joe Timson']"
Gluon Solutions Pvt Limited,null,null,"['Sandeep Suryavanshi', 'Suresh Ramasamy', 'Anuj Adhikary']"
GoDaddy,null,null,"['Nikita Agarwal', 'Shivani Sahraot', 'Sumedh Pohekar']"
gofurther,null,null,"['Carolina Stassis', 'Eleanor Harding', 'Antonio Ajewole', 'Andreas Savvides']"
gogrowth,null,null,['Gurmeet Oberoi']
Goken India,null,null,['Swapnil Gawade']
gostudyfree,null,null,['Mahapavit Anand']
GotoEcom,null,null,['Varun Walia']
GradRight,null,null,['Prasad Shinde']
Great Media Technologies,null,null,"['Sanjay Singh', 'Saif Khan Lodi', 'Mainak Banerjee']"
Green Avni Solutions,null,null,['Prakash Rapolu']
Greenbotz Platform,null,null,['Gowtham Murugesan']
GreetsU,null,null,['Manuj Sharma']
Grexa AI,null,null,"['Ashutosh Kumar', 'Narendra Agrawal', 'Ayush Varshney', 'Arpit Oswal']"
Grey chain,null,null,['Pratiksshya Pusty']
Grey Soul Coffee Roasters,null,null,['Umesh Bajaj']
Grootin,null,null,"['sumeet grootin', 'Shobit Kohli', 'Abhiraj Singh']"
Grovio AI,null,null,['Ameet Kumar']
GrowQuest,null,null,"['Rohan Desai', 'Anup Dives']"
Growth For Impact,null,null,['Kunth Jain']
Growth Nursery,null,null,['Karthik Sake']
GrowthSpree,null,null,['Ishan Manchanda']
GrowthSRC media,null,null,['GrowthSRC Media']
Growtomation,null,null,"['NIshant Gupta', 'Nishant Gupta']"
GTMDialogues,null,null,['Saurabh Lahoti']
Guestara,null,null,['Akshay Kumar']
Guidepoint,null,null,['Albert Sebag']
Guidewire Software,null,null,"['Mark Shaw', 'John Raguin']"
Gupshup Technology,null,null,['Vinay Narayanan']
GVM Technologies,null,null,"['Paras Gogia', 'Reena Uchadadia']"
Gyrus.AI,null,null,"['SHASHANK SHEKHAR', 'Nagaraj Krishnamurthy']"
Hack For Change,null,null,"['Srinivas Aki', 'Suman Tyaagi', 'shruti pandey']"
HACKLAB SOLUTIONS,null,null,['Vikram Rastogi']
Hakkoda,null,null,"['Catalina Loaiza', 'Adithya kommini', 'Angelo Oviedo Montero']"
hard.coded,null,null,['Anand Thakur']
Harvesting,null,null,['expert web']
HashedTokens,null,null,"['Wenjie Xin', 'Ravi K']"
HashInsert,null,null,"['Deepak Vuppala', 'Vamsi Dharmavarapu']"
Hashtrust Technologies,null,null,"['Pratyakshi Dhamawat', 'Hashtrust Technologies']"
Headspur Technologies,null,null,['Geetanjali Gupta']
Headstart Sessions,null,null,['Michael Brunet']
Health Vectors,null,null,"['Elizabeth Thomas', 'Jagsir Singh']"
Heart It Out,null,null,['Nithya J Rao']
HELLO ATITHI INDIA,null,null,"['shom nath', 'Prashant Chauhan', 'Robin Chauhan']"
Highbit,null,null,['Nixter Sumicha']
HireQuotient,null,null,"['Kyathi Jaggurothu', 'Shounak Banerjee', 'Keyur R Sangani']"
hivepath,null,null,['Poorna Praneesha']
Hoichoi,null,null,['Vishnu Mohta']
Holidify,null,null,['Rohit Shroff']
HootBoard,null,null,['Satyajeet Shahade']
Hopscotch Games,null,null,"['Shrinivas Jadhav', 'Charles Flomenhoft']"
House of Edtech,null,null,"['HR GKLLP', 'Vidhi Agarwal', 'Aryan Chaurasia']"
HR Huddle Consultancy,null,null,['Priya .']
HSV Digital,null,null,['Neeraj Singh']
Hudson River Trading,null,null,['Suhas Daftuar']
Hue Logics,null,null,['Pratik Mante']
Hues Apply,null,null,['Clifford Benjamin oppong']
HummingWave Technologies,null,null,"['Preksha Rai', 'Pushkal Pandey', 'Tejasvini Vasudev']"
Hypergrowth,null,null,['Samuel Chan']
iamneo.ai,null,null,"['Swathi Vishnuraam', 'Arumugham Sankaran', 'Thenambika S']"
IAPL Institute,null,null,['Vandna Agrawal']
Ibexlabs,null,null,"['sai kiran', 'Narendar Nallamala', 'Pragna Gope']"
iblive,null,null,['Mithun E']
iCliniq,null,null,"['Marshal Anto Robin Innasimuthu', 'Rammohan P M', 'Siddharth Parthiban']"
Identity Labs,null,null,"['Vipul Vijay', 'Identity Team', 'Shivani Bohare']"
I Design My Life,null,null,['Rashmi Nair']
IDT,null,null,"['Ekaterina Verbilova', 'Amarjeet Kang', 'Vera Ladenkova']"
i-Genie,null,null,['Trevor Sumner']
Ignite Solutions,null,null,"['Ajinkya Bapat', 'Snehal Bhayani', 'Cindy Morgan']"
IMGlobal Media,null,null,['Nikita Parmar']
Impact Analytics,null,null,"['Nagarjuna Murakonda', 'Jasleen Kaur', 'Shrilekha Handa']"
Impact Guru,null,null,"['Piyush Jain', 'Khushboo Jain']"
IncSkill,null,null,"['Nikhil Priyadarsh', 'Kartik Sawhney', 'Abhishek Prajapat']"
Index Exchange,null,null,"['Savina Lee', 'Scott Kwait', 'Blake Williams']"
India Index,null,null,['Diveek Jain']
Indihood,null,null,['Lalitesh Katragadda']
Industrility,null,null,"['Karuna Nagrale', 'Achint Varia', 'Jinesh Varia']"
Infabytes,null,null,['Bala krishna vakamalla']
Infibooks,null,null,['Vipru Chanukya']
Infigon Futures,null,null,"['Infigon Futures', 'Yash Patil']"
Infinite Possibilities,null,null,['Art Benjamin']
INFINITY FUND,null,null,['avijit chandra']
InfinityPool Finnotech,null,null,['Shankh Tech']
Infloso AI,null,null,['Bharat Kishnani']
Infobrandz,null,null,['Vikas Agrawal']
Infocusp Innovations,null,null,"['Gaurang Kothiya', 'Amit Juneja', 'VINISH KUMAR']"
InfraSingularity,null,null,['Jitin Jain']
Innovacx Tech Labs,null,null,"['Divya Mantri', 'Gurrapu Shivasai', 'Thirumal Reddy Vallapu']"
Innovalus Technology,null,null,"['Keerthana Velmurugan', 'Gokula kannan', 'Ramya Dhanasekaran']"
Innovapptive,null,null,"['Nithin Jella', 'Saphalendra Kumar', 'ishan rajpurohit']"
Innovations Groups,null,null,['Nehal Ahmed']
Insane Marketers,null,null,['Aman Singh']
Insight Fusion Analytics,null,null,['Anmol Pathak']
Inspiredge IT Solutions,null,null,"['Ravi Kumar Nadendla', 'Bharath Srinivasan']"
Insync.ai,null,null,['Ashish Parnami']
Intangible,null,null,['Sam Huleatt']
Intelisync,null,null,"['HR Intelisync', 'Vinayki Khare', 'Kartik Sharma']"
IntelliSearchAI,null,null,['Shijin P']
Intellobots,null,null,"['Raj Vihari Vudattu', 'ram prasad']"
Intellohire,null,null,['shiva prasadk']
interactly.video,null,null,['Fareeda Mohammad']
InterestShip,null,null,['Deep Patel']
Interneuron,null,null,"['Steven McManus', 'Wayne Gibson', 'Matt Conway']"
InterviewBuddies,null,null,"['Niharika Pandey', 'Himanshu Pandey']"
Ipsator,null,null,"['Abhinav Kushwaha', 'Gaurav Kumar', 'Vaibhav Saxena']"
iqgateway,null,null,"['Aman Chandna', 'Sunil Subrahmanyam', 'Akhil Kumar Kapil']"
IQnext,null,null,"['Gouthami P', 'Sunitha PC', 'Suhrith D']"
Iqra Technology,null,null,"['sadat sayed', 'Sayyed murtuz Mohd', 'Syeda Afshan Naqvi']"
Irona AI,null,null,['Tushar Jain']
Irrigation Product International,null,null,['ANAND HR RECRUITMENT IPI']
Isar Systems,null,null,['Diksha Kapoor']
Ishay Infotech,null,null,['Anup Kiran']
Isotropic Solutions,null,null,['Vijayalakshmi P']
I-Stem,null,null,['Kartik Sawhney']
itanta analytics,null,null,"['Chetan Narendra Upadhye', 'Yogesh Kadam', 'Rithal Oswal']"
IUDX,null,null,"['Raghu Krishnapuram', 'Swarup E', 'Abhilash V']"
ivorypay,null,null,['Dare Adegoriolu']
Jaarvis,null,null,"['Jyoti Singh', 'Mansi Srivastava', 'Mansi Srivastava']"
JagruMs Technologies,null,null,['Rajasekhar Reddy']
Jain Software Bhopal,null,null,['Jain Software Foundation']
Javis,null,null,"['Javis Talent', 'Revathi Satish', 'Chirag Dugar']"
jodaro,null,null,"['Rajiv Patki', 'Sambuddha Adhikari']"
JS Tigers,null,null,['Rakesh Pandey']
JSW New Age,null,null,['Rishi Shroff']
Jublia,null,null,"['Max Goh', 'Aidan Chan', 'Sudarsan G P']"
Juntrax Solutions,null,null,"['Shinjini Ghosh', 'Debottam Dutta', 'Anjana Desai']"
Jyoti Technosoft,null,null,['Dipesh Gandhi']
Kaaj AI,null,null,['Utsav Shah']
Kae Capital,null,null,['Kae Capital']
Kaizen Empire,null,null,"['Nick Patel', 'Karishmaa Chandna']"
KamalDhari Infotech,null,null,"['Annu Chelaramani', 'Reshma Jariwala']"
Karbon Card,null,null,"['Shreya Shetty', 'Neha Bhattacharjee', 'Sunil Kumar']"
Karkhana.io,null,null,['Sonam Motwani']
Karmaa Builders,null,null,['Yash Talwar']
Karnival,null,null,['Siddharth Mishra']
Karysh,null,null,['Rija Javed']
Kashni,null,null,['Bimla Bhatia']
KasperTech,null,null,"['Ekta Arora', 'Krishna Ojha']"
Kasplo,null,null,"['Alisha Tahasildar', 'Andrea Karen Rodrigues', 'Melita N']"
Keetup,null,null,['Gustavo Bellino']
Kelsmar,null,null,['Kelsmar Recruiter']
Key Dynamics Solutions,null,null,['Nauratan Singh']
Keyfalcon Solutions,null,null,"['Kirti Saratkar', 'sarathkumar N', 'Aruneel Das']"
Keyshade,null,null,"['Aritra Biswas', 'Rajdip Bhattacharya', 'Swatilakha Saha']"
Kids Kommune,null,null,['Sunny Kothari']
Kika Kiki,null,null,['Abhishek Kabdi']
Kilobyte Technologies,null,null,['Prakhar Agrawal']
Kinemach Engineering and Machines,null,null,['Ashwanth M.P']
Kiroji,null,null,['Krati Rathore']
Kisan Network,null,null,"['Sanjay K Agarwalla', 'Aditya Agarwalla']"
KNOCKDESIGN,null,null,['kaushik gupta']
Knowhere Studio,null,null,['Sanjay Achar']
Koach,null,null,['Andrei Ștefan']
Kohort-Learning-Platform-Pvt-Ltd,null,null,['Pavan Kumar Sriram']
KOKO Networks,null,null,"['John Woolsey', 'Brenda Ongalo', 'June Akumu Nyabwa']"
Kolo,null,null,['Olya Filonchuk']
Koshex,null,null,"['Komal K Gupta', 'AKASH AGRAWAL']"
Kpler,null,null,"['Amaëlle RICHAUD', 'Pierre Pater', 'Ophélie Pellerin']"
Kraftbase,null,null,['dhaval agrawal']
Kratos Gamer Network,null,null,"['Shreya S', 'Jaya Kesarwani', 'Kirt Preet Singh']"
Kredpool Solutions,null,null,['Yash Jain']
krtrimaiq cognitive solutions,null,null,"['anish rajana', 'gopi jothi']"
Kugelblitz,null,null,['Rishabh Mehrotra']
KumoHQ,null,null,['Ankit S']
kwinHops,null,null,['Konagiri Madhavi']
Kyoren Labs,null,null,['Niraj Taksande']
labfox.studio,null,null,['Mohan Krishna']
Ladies Who Lead,null,null,['Shivangi Dwivedi']
La-Fetch,null,null,['Pooja Agarwal']
laika-ai.io,null,null,['Divyanshu Chauhan']
Landytech,null,null,"['Tejas Udhalikar', 'suryanarayanan saikumar', 'Ratajczyk Quentin']"
LarvaeeBharat,null,null,['Sasi Kumar C']
La Vie Design Studio,null,null,['Lavina Chhabra']
Laxaar,null,null,['Inderdeep Singh']
Layovered,null,null,['Ajitesh Sakaray']
LeadMint Technologies,null,null,"['Abhinav Maurya', 'Rishav Raina']"
Leap Finance,null,null,"['Cameron Haynes', 'Ewen Hollingsworth']"
Leap Scholar,null,null,"['Ashis nayak', 'harika Baske16', 'Akarsha Prisela']"
Learnigence Technologies,null,null,['Kundan K Shrivastava']
Learnyst,null,null,"['Shivaranjan Kumar', 'Shankar Mahesh']"
Leegality,null,null,"['Prakhar Agrawal', 'Sapan Parekh', 'Shivam Singla']"
Legacy Aye,null,null,['Manasa P']
legacyloom,null,null,['Mosin Shaikh']
LendAPI,null,null,"['Sarthak tandon', 'Sam Xia', 'Chakresh Peela']"
Lernn,null,null,['Prashant Goyal']
Letsthrill Adventures,null,null,['Vishal Singh']
Letstream,null,null,"['Kanishk Yadav', 'Mohd Talha', 'Rahul Kothari']"
Letzstepin,null,null,['Nikhil Suryawanshi']
Leute Passen Technologies,null,null,['Mainak Das']
Levelworks,null,null,['Scott Stuart']
Levo.ai,null,null,['Buchi Reddy Busi Reddy']
LH2 Holdings,null,null,"['Jason Pinto', 'Jason Pinto']"
LifeSkylls,null,null,['Prashanth Bhat']
Limese,null,null,['Kaushal Shah']
Lincode Labs,null,null,"['Aniruddh Gajera', 'Abhishek singh']"
LinkG,null,null,['Sanjeev Kumar']
LinqHaul,null,null,"['Mahesh Shukla', 'BHASKAR JYOTI ROY', 'Siddharth Shastri']"
Listnr,null,null,"['Matt Broten', 'Geoffrey LeMond']"
Lithem,null,null,['Deven Rathod']
LIVING STONES FOUNDATION,null,null,['Carlos Cuauhtemoc']
LLUMO AI,null,null,['Anjali Shukla']
Loch,null,null,['Prithvir Jhaveri']
Logiccircle,null,null,['Apoorva Singh']
Lokafy,null,null,['Kiran Samra']
LookingOut,null,null,['Amit Rai']
Loop,null,null,"['Raja Krishna', 'Brent Alvord', 'Sead Sabanovic']"
Lotus Exhibitions and Marketing Services,null,null,"['Vandana Malhotra', 'Trishila Malhotra']"
LoveActuallyMe,null,null,['Tanushree Sharma']
Loyalty Juggernaut,null,null,"['Shraddha Dhavle', 'Narasimha Poluparthi', 'Ankit Jain']"
LRR Technologies,null,null,['Kishore K']
Luganodes,null,null,"['Anuj Parihar', 'Hardik Bhatia', 'R Narayan']"
Luma Fertility,null,null,['Hetvi Kanakia']
LuminaData,null,null,['Deepti Chafekar']
Luminik,null,null,"['Vipinkumar Tiwari', 'Prasad Subrahmanya']"
LunaJoy,null,null,"['Nathalie Alcala', 'Jill Chami', 'Liana Felt']"
LYNC WORLD,null,null,"['Bobby Kumar', 'Arpit joshi', 'Shanu Joshi']"
Lynsa,null,null,['Akash Tiwary']
Lyzr.ai,null,null,['Siva Surendira']
Mactores Innovations,null,null,"['Disha Thakar', 'Charul Joshi', 'Pallavi Sharma']"
Madhive,null,null,"['Aimee Lacks', 'Luc Dumont', 'Christian Zamora']"
MADStage,null,null,['Raghuram Indla']
madverse.co,null,null,['Deepa Gupta']
Makeup by Monalisa Mandal,null,null,['Monalisa Mandal']
Makkajai,null,null,"['Deep Shah', 'Roopesh Shenoy']"
Malible,null,null,['Campbell Sechrest']
Mantracare,null,null,"['Saakshi Solanki', 'Bharat Mathur', 'Bharat Mathur']"
MapOut Global,null,null,"['Arindam Mishra', 'Hina Chopra']"
Market Dynamics,null,null,['Bethany Stanley']
Marmeto,null,null,['Shashwat Swaroop']
Maroon,null,null,['Kenneth Friesenhahn']
Maropost India,null,null,['Simranjeet Singh']
MARSCAPE,null,null,['Swaroop Reddy']
Marvedge,null,null,['Marvedge Media']
Masaya,null,null,['Paul de Lavalette']
Master-O,null,null,"['Sagnik Ash', 'Vijaykant Yadav', 'Chaitanya Dhingra']"
Matillion,null,null,"['James Johnson', 'Adam Gantt', 'Peter McCord']"
Matrix Requirements,null,null,"['Wolfgang Huber', 'Yves Berquin']"
Mave Health,null,null,['Aman Kumar']
maxemo capital,null,null,"['Bhaskar Singh', 'Devanshi Mittal']"
MaxHome.ai,null,null,['Divya Aathresh']
Maxim AI,null,null,"['Akshay Deo', 'Vaibhavi Gangwar']"
Maximojo,null,null,['Sudhir Mody']
Maxtron Services,null,null,['Ridha Agarwal']
medgini,null,null,"['priyanka harjani', 'Ashish Kumar']"
MediaMelon,null,null,"['Alex Schneidman', 'Rupesh Satija', 'Pratik Roychowdhury']"
MedicalCertificate.in,null,null,"['Raghav Sehgal', 'Rasika Sadawarte', 'Ankit Anubhav']"
Mediscus Healthcare,null,null,['Dr Jayprakash Shirpurwar']
Med Mind Flash,null,null,['Pranav Kalra']
Meelance,null,null,['Sam Malik']
meeraq,null,null,['Sujata Barla']
Memorang,null,null,['Yermie Cohen']
Menoob,null,null,['Menoob Merch']
MERIDA TECH MINDS,null,null,"['Vedika HR', 'Devikashree MS', 'Merida Tech Minds Pvt Ltd']"
Merito,null,null,['Mizuho Gonzalez']
mesha,null,null,['Tahem Veer Verma']
MetaKeep,null,null,"['Naga Samineni', 'Rohan Sharma']"
Metapher,null,null,['Nilesh Punadiya']
Meteorite Consulting,null,null,['Jay Awasthi']
Metronomic Technology Solutions,null,null,['Dr. Sujith Krishnan']
Metron Security,null,null,"['Chanchal Kale', 'Divya Khanna', 'Mala Singh']"
Micoworks,null,null,['Norio Osato']
Micro Mitti,null,null,"['Gitanjali Sirwal', 'Micro Mitti', 'Diksha Mehra']"
Midas Minds,null,null,"['Saran Raju', 'Saran Raju']"
Mihuru,null,null,['Shruti Mehrotra']
MiM-Essay,null,null,['Abhyank Srinet']
Mindzeye,null,null,['Ashwin Bilwapatra']
Mirai Website Designing,null,null,['Pankaj Tripathi']
Miranj,null,null,"['Souvik Das Gupta', 'Prateek Rungta']"
Mister Misting,null,null,['Aditya grover']
Mitigata,null,null,['Akshit Kaushik']
Mobio Solutions,null,null,"['POOJAN SHAH', 'Hiren Kava', 'Hardik Shah']"
Mobistreak,null,null,['Prasant Sahu']
Modstack.dev,null,null,['Dharshan Rangegowda']
Monkhub,null,null,"['Raghu Raaj Shekhar', 'Raghu Raaj Shekhar']"
Moolaah,null,null,"['Jayaram S', 'Prakhar Pandey', 'Pratyaksh Pandey']"
Moshi Moshi,null,null,"['Sabah Batul', 'Ajay Bothra']"
mosol9,null,null,['Supraja Reddy']
Muoro,null,null,"['Smiti Kumar', 'Mayur Gupta', 'Vyom Bhardwaj']"
MyAcolyte EdTech,null,null,['Ayesha Malaika']
My Eco Escape,null,null,['Erica Louise']
MyHealthSpace,null,null,['Shallabh Mittal']
Mylestones,null,null,['Dwiti Mittal']
Myntra Jabong,null,null,['Girija Shankar Sahoo']
MyOperator,null,null,"['Ankit Jain', 'Pratik Jain']"
Myraid Trading,null,null,['Rohn Reed']
MyRideMate,null,null,['Sathish V']
Naandi Foundation,null,null,"['Priya N', 'Anasuya Chakraborty', 'Solaiappan Laxman']"
NameStatus,null,null,['Hannan M.']
Nanosafe Solutions,null,null,['Anasuya Roy']
Natzest,null,null,['Gaurav Singh']
NAV,null,null,['Mike Aleo']
Nav Technologies,null,null,['Michelle Davis']
Navtech,null,null,['Swarna Esther']
Navvyasa Consulting,null,null,"['Gunjita Sharma', 'Prachi K']"
Nayan India Science And Technologies,null,null,"['Anubhav Rohatgi', 'Anuj Middha', 'Anand Kummari']"
NCGAMENFT,null,null,['Abdullah Saif']
Neander,null,null,['Kush Mishra']
Nector,null,null,['Hannu Eronen']
NeevHQ,null,null,['Neev HQ']
Neomaxer Fintech,null,null,['Abhimanyu Sadh']
Neosys.ai,null,null,['Shivanshu Purohit']
Netscribes,null,null,"['Ashwin Kumar Lihala', 'Aman Sinha', 'Debdatta Ganguly']"
NeuralGarage,null,null,['Shashank Kumar']
Neuralix.ai,null,null,"['Sarita Singh', 'Vikram Jayaram', 'Tushar Srivastava']"
neurodiscovery.ai,null,null,"['Garima Bajoria', 'Srinidhi Moodalagiri']"
NewSpace Research and Technologies,null,null,['Sameer Joshi']
Nexera,null,null,"['Sebastian Galimberti Romano', 'Steve Abreu']"
Nexperia Technologies,null,null,['Nexperia Technologies Pvt Ltd.']
NextVant,null,null,['Arpit Mishra']
Nextway Studio,null,null,['Atanu Majumdar']
NFlow Technologies,null,null,"['Bhumi Panchal', 'Nflow Technologies', 'Nevil Bhatt']"
Nimesa,null,null,['Tapesh Goyal']
Ninthnode,null,null,['Paras Botadra']
NIRA,null,null,"['robinah amuge', 'Chima Onyekwere OON']"
Nirmitee.io,null,null,['Yogesh Daga']
Nirnai Tech,null,null,['Ramakrishna Nishtala']
Niti AI,null,null,['Hari Subramanian']
Niyogin AI,null,null,['Niyogin Hiring']
Noagency,null,null,['AMIT KUMAR JHA']
Noesis.tech,null,null,['Siddharth Bhansali']
Noha.ai,null,null,['Arun Panayappan']
Nojoto,null,null,"['Kamal Singh Chauhan', 'Mukesh Poonia', 'Himanshu Upadhyay', 'Satyaprem Upadhyay']"
Nomsans Creative Services,null,null,['Kunal Bhendé']
Nonceblox,null,null,['Vinshu Gupta']
Nosh Robotics,null,null,['Prateek Singh']
Not Funny,null,null,['DIVYANSH PUROHIT']
Novalyze.ai,null,null,['Samin Kumra']
Novapulse Technologies,null,null,['Vivek Gupta']
Novo,null,null,['Alexis Roumeliotis']
NOW Venture Studio,null,null,['Pradeep V']
Numour,null,null,['Vaishali Jain']
nunify,null,null,['Nunify Webinar']
NurtureLabs,null,null,"['Yash Agarwal', 'Shiva Mangal']"
NymbleUp Solutions,null,null,['nikhil pramod khadse']
NYUC Technologies,null,null,"['sonali chauhan', 'Shreya Arora', 'Kailash Choudhary']"
OakNorth,null,null,['Joel Perlman']
Oasis TechnoSoft,null,null,['Arun Kumar']
Oblu Helathcare,null,null,['Sarthak S']
Odo,null,null,['Rahil Maniyar']
Of10,null,null,['Umang Sood']
OfferFit,null,null,"['Victor Kostyuk', 'George Khachatryan']"
Ohh My Brand,null,null,['Bhavik Sarkhedi']
Omnirio,null,null,['Joshua Co']
Onehouse,null,null,['Chester Leung']
OneStack,null,null,['Gavin Appel']
Oneture Technologies,null,null,['Mahesh Pathak']
OnGrid,null,null,"['Vineet Bansal', 'Piyush Peshwani']"
ONI,null,null,"['Valerio Pereno', 'Bhavik Thakkar', 'Alexander Ahl']"
OpenFabric,null,null,['Srikanth Karanam']
Opland Technologies,null,null,['Chandra Mohan Rowthu']
Opposite,null,null,"['Suman Paul', 'Mina Malic']"
Optiver,null,null,['null']
OptyMatch,null,null,['Rajat Vashishta']
Oraczen India,null,null,"['Rasmi Shaik', 'Mohammed Ashraf', 'Pavan Ponnam']"
Orange Health,null,null,"['Dhruv Gupta', 'Tarun Bhambra']"
Orbo.ai,null,null,"['Md Danish Jamil', 'Abhit Sinha', 'Manoj Shinde']"
Orgzit,null,null,['Nitin Verma']
oriel financial solution,null,null,['Tanisha Sharma']
Oriserve,null,null,"['Tanuj Srivastava', 'Rishabh Tyagi']"
Otterz,null,null,['Otterz - Founder']
Overtly,null,null,"['Tom Jowitt', 'Sair Buckle']"
Owl Craft,null,null,['Dharmendra Patel']
ownpath,null,null,['Shreyas Satish']
Pace Stock Broking Services India,null,null,['Sarvam Goel']
Paperclip.design,null,null,['James S.H. Lee']
ParallelDots,null,null,"['Muktabh Mayank', 'Ankit Narayan Singh', 'Angam Parashar']"
Parspec,null,null,"['Abhijit Mitra', 'Abhishek Sharma', 'Kate Pavelescu']"
Pascal AI Labs,null,null,['Mithun Madhusudan']
Passprt,null,null,['Ujjwal Garg']
pathsetter.ai,null,null,['Esha Gadhi']
Patronus,null,null,"['Pranav Sanghvi', 'Ken Dolin']"
Paygo.fit,null,null,['Abhilash D']
Payppy Technologies,null,null,['Satyen Aghor']
Pazy,null,null,"['Pratik Chhajed', 'Devyanshu Shukla']"
Permutive,null,null,"['Tim Spratt', 'Joe Root']"
Persius,null,null,['Bibin Mathew']
Petavue,null,null,['Jeyaraj Vellaisamy']
Petmojo,null,null,['Ishaan Khare']
Pickcel,null,null,"['Basudev Saha', 'Rajesh Bhattacharjee']"
Picktime,null,null,"['Sumanth Varma', 'Picktime HR', 'Hiring Manager']"
Pilabz,null,null,['Vivek Sarda']
Pilot Tech,null,null,['Yi Liu']
pinco,null,null,"['Hina Aggarwal', 'Deeksha Prajapati', 'Archana Mohan']"
Pippin Title,null,null,"['Bassel Said', 'Bharat Das']"
Pixel Tech,null,null,['Kashvi Verma']
Pixpivot Tech Solutions,null,null,['Nidhi Thakur']
Pixuate,null,null,"['Akshata Kari', 'Ravindra Dastikop', 'Prathvi Palekar']"
PlaceAd,null,null,['Abhishek Kumar']
PLACTA,null,null,['Srikanth Nimmagadda']
